Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : MANITI
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,INDIANA
Latitud :,3°31'13.09'',Longitud :,72°50'27.13'',Altitud :,125 msnm.
Tipo :,PE - Meteorológica,Código :,103009
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2023-03-01,30.8,S/D,S/D,26.7
2023-03-02,30.2,23,93.4,0.8
2023-03-03,32.6,22.8,90.7,7.6
2023-03-04,28.6,23,93.3,24.7
2023-03-05,31.2,23.2,91.4,60.6
2023-03-06,29.4,22.6,91.6,1.0
2023-03-07,31.4,21.8,92.1,1.0
2023-03-08,34.8,22.8,86.7,0.0
2023-03-09,34.6,23.6,86.2,7.6
2023-03-10,29.8,23.4,93.4,0.0
2023-03-11,32.8,22.8,89.4,19.7
2023-03-12,27,22.6,95.2,1.8
2023-03-13,32.4,22.4,89.4,2.8
2023-03-14,33.4,23,89.5,4.6
2023-03-15,31,21.8,89.2,0.0
2023-03-16,34.4,20.6,86.5,0.0
2023-03-17,36.4,21.6,82.0,0.0
2023-03-18,35.2,22.6,87.3,0.0
2023-03-19,31,22.4,90.8,0.0
2023-03-20,34.2,22.2,85.3,0.0
2023-03-21,35.8,21.8,83.2,0.0
2023-03-22,36,21.6,81.3,0.0
2023-03-23,36.2,21,83.3,1.7
2023-03-24,31.6,22.4,89.9,0.0
2023-03-25,32.4,22,89.3,6.1
2023-03-26,30.6,22.4,91.6,11.3
2023-03-27,30.8,22.8,90.6,2.4
2023-03-28,28.6,22.6,94.7,1.1
2023-03-29,34.2,21.4,85.8,0.0
2023-03-30,34,22.8,87.9,2.9
2023-03-31,29.2,23.4,93.0,4.8
