Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : MANITI
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,INDIANA
Latitud :,3°31'13.09'',Longitud :,72°50'27.13'',Altitud :,125 msnm.
Tipo :,PE - Meteorológica,Código :,103009
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2023-06-01,30.8,23.2,92.5,4.7
2023-06-02,29.8,23,93.0,1.3
2023-06-03,31.4,21.6,89.7,S/D
2023-06-04,S/D,S/D,S/D,S/D
2023-06-05,32.8,22.6,92.2,0.6
2023-06-06,30.6,22.4,90.0,1.1
2023-06-07,30.4,22.4,92.3,7.5
2023-06-08,31.2,22.8,89.7,0.7
2023-06-09,33.8,22.8,87.0,32.1
2023-06-10,30.8,23,93.4,S/D
2023-06-11,S/D,S/D,S/D,S/D
2023-06-12,33.6,21.8,89.2,1.3
2023-06-13,28.2,22.2,96.7,25.1
2023-06-14,26.2,21.8,98.3,1.7
2023-06-15,S/D,15.6,S/D,0.0
2023-06-16,23.4,16.6,92.2,0.0
2023-06-17,26.8,22.6,91.7,S/D
2023-06-18,S/D,S/D,S/D,S/D
2023-06-19,31.2,23.8,90.8,0.0
2023-06-20,31.6,20.2,85.6,18.1
2023-06-21,31.2,22.8,S/D,12.0
2023-06-22,33.2,21.4,S/D,4.9
2023-06-23,33.4,22.6,S/D,0.0
2023-06-24,34.6,22.4,S/D,S/D
2023-06-25,S/D,S/D,S/D,S/D
2023-06-26,32,23,S/D,9.3
2023-06-27,33.4,21.6,S/D,0.5
2023-06-28,32.6,22.8,S/D,S/D
2023-06-29,S/D,S/D,S/D,S/D
2023-06-30,30,21.2,S/D,4.4
