Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : MANITI
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,INDIANA
Latitud :,3°31'13.09'',Longitud :,72°50'27.13'',Altitud :,125 msnm.
Tipo :,PE - Meteorológica,Código :,103009
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2023-07-01,33.4,21,85.9,S/D
2023-07-02,S/D,S/D,S/D,S/D
2023-07-03,33.8,19.6,89.0,0.0
2023-07-04,31.4,22.6,91.6,0.1
2023-07-05,33.8,22.4,83.9,0.0
2023-07-06,30,22.6,87.6,17.0
2023-07-07,33.2,22.4,87.2,16.3
2023-07-08,31.8,22.2,87.3,S/D
2023-07-09,S/D,S/D,S/D,S/D
2023-07-10,33.8,22.2,86.7,0.0
2023-07-11,34.6,19.4,84.4,S/D
2023-07-12,S/D,S/D,S/D,S/D
2023-07-13,S/D,S/D,S/D,S/D
2023-07-14,S/D,S/D,S/D,S/D
2023-07-15,S/D,S/D,S/D,S/D
2023-07-16,S/D,S/D,S/D,S/D
2023-07-17,S/D,S/D,S/D,S/D
2023-07-18,S/D,S/D,S/D,S/D
2023-07-19,S/D,S/D,S/D,S/D
2023-07-20,S/D,S/D,S/D,S/D
2023-07-21,S/D,S/D,S/D,S/D
2023-07-22,S/D,S/D,S/D,S/D
2023-07-23,S/D,S/D,S/D,S/D
2023-07-24,S/D,S/D,S/D,S/D
2023-07-25,S/D,S/D,S/D,S/D
2023-07-26,S/D,S/D,S/D,S/D
2023-07-27,S/D,S/D,S/D,S/D
2023-07-28,S/D,S/D,S/D,S/D
2023-07-29,S/D,S/D,S/D,S/D
2023-07-30,S/D,S/D,S/D,S/D
2023-07-31,S/D,S/D,S/D,S/D
