Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : MAZAN
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°29'17.4'',Longitud :,73°4'54.6'',Altitud :,96 msnm.
Tipo :,CP - Meteorológica,Código :,103044
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2021-09-01,S/D,S/D,S/D,S/D
2021-09-02,S/D,S/D,S/D,S/D
2021-09-03,S/D,S/D,S/D,S/D
2021-09-04,35.5,23.5,S/D,S/D
2021-09-05,32.2,23.2,S/D,S/D
2021-09-06,30,22.4,S/D,S/D
2021-09-07,33,22.8,S/D,S/D
2021-09-08,34.4,23.2,S/D,S/D
2021-09-09,34.6,24,S/D,5.0
2021-09-10,30,23,81.1,0.3
2021-09-11,30,22.5,85.7,1.4
2021-09-12,32.4,23,79.1,0.0
2021-09-13,34,23,76.9,0.0
2021-09-14,36,22,76.0,0.0
2021-09-15,34.5,23.3,76.2,44.8
2021-09-16,31.2,22.5,84.8,0.8
2021-09-17,27.8,22.6,89.5,7.6
2021-09-18,32.8,21.2,76.3,0.0
2021-09-19,34.2,22.5,72.7,0.0
2021-09-20,34,23.8,74.6,0.0
2021-09-21,32.2,23.2,82.6,12.2
2021-09-22,29.6,22.5,86.5,1.0
2021-09-23,31,22.5,83.1,49.4
2021-09-24,30.4,22.4,85.2,14.9
2021-09-25,27.2,21.6,87.9,6.9
2021-09-26,32.3,21.8,78.9,0.0
2021-09-27,33.2,22.2,77.7,0.0
2021-09-28,33.2,24.2,81.2,0.0
2021-09-29,30.4,23.8,84.3,2.7
2021-09-30,33.2,22.5,79.2,0.0
