Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUNCHANA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,PUNCHANA
Latitud :,3°41'25.07'',Longitud :,73°15'20.13'',Altitud :,91 msnm.
Tipo :,PE - Meteorológica,Código :,103015
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2026-03-01,S/D,S/D,S/D,S/D
2026-03-02,32.8,24.4,85.1,26.4
2026-03-03,33.6,23.6,86.3,21.3
2026-03-04,28.4,23,90.0,0.0
2026-03-05,31.8,24,92.3,26.7
2026-03-06,32,23,87.6,22.4
2026-03-07,31,22.4,89.5,0.0
2026-03-09,32.6,23.6,86.9,12.8
2026-03-10,27,22,92.1,20.2
2026-03-11,30.4,22.4,90.4,0.0
2026-03-12,28.6,22.6,92.5,0.8
2026-03-13,31.2,23.6,89.3,80.6
2026-03-14,34,23.2,84.8,0.0
2026-03-16,33.6,23,82.4,0.0
2026-03-17,31.4,23.8,92.1,0.0
2026-03-18,26.4,23.6,95.2,10.3
2026-03-19,27.6,23,93.7,0.0
2026-03-20,34.4,22.8,87.7,0.0
2026-03-21,34.8,22.8,88.5,0.0
2026-03-23,31,23.2,90.9,0.0
2026-03-24,34.2,24.2,87.3,0.0
2026-03-25,34,25,85.8,0.0
2026-03-26,33.4,24.6,88.9,34.2
2026-03-27,32,24.4,87.3,3.6
2026-03-28,32.6,24.4,90.5,0.0
2026-03-30,34.2,22.6,85.4,0.0
2026-03-31,28.4,22.8,93.2,10.7
