Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : REQUENA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,REQUENA
Latitud :,5°2'35.06'',Longitud :,73°50'10.09'',Altitud :,109 msnm.
Tipo :,CO - Meteorológica,Código :,105095
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2023-07-01,31.6,22,95.6,S/D
2023-07-02,S/D,S/D,S/D,S/D
2023-07-03,32.4,20.4,91.3,0.0
2023-07-04,33.4,22.2,96.2,0.0
2023-07-05,S/D,23.2,S/D,8.1
2023-07-06,31.2,23.6,98.0,0.0
2023-07-07,32.2,23.2,94.2,0.0
2023-07-08,32,22.8,91.0,S/D
2023-07-09,S/D,S/D,S/D,S/D
2023-07-10,33,23,95.3,0.0
2023-07-11,33.2,22.8,95.3,0.0
2023-07-12,32.4,23,94.0,0.0
2023-07-13,33.6,23.2,95.7,0.0
2023-07-14,33.8,22.8,98.0,2.1
2023-07-15,30.6,22.2,98.4,S/D
2023-07-16,S/D,S/D,S/D,S/D
2023-07-17,32.6,22,97.9,17.9
2023-07-18,32.4,22.2,97.0,41.3
2023-07-19,30.6,22.8,97.5,16.5
2023-07-20,27.8,22.4,97.9,3.9
2023-07-21,31.2,22,96.1,0.0
2023-07-22,S/D,21.8,S/D,S/D
2023-07-23,S/D,S/D,S/D,S/D
2023-07-24,31,21.6,97.9,0.0
2023-07-25,32.6,21.8,96.5,0.0
2023-07-26,33.4,S/D,S/D,0.0
2023-07-27,34.6,22,S/D,S/D
2023-07-28,S/D,S/D,S/D,S/D
2023-07-29,S/D,S/D,S/D,S/D
2023-07-30,S/D,S/D,S/D,S/D
2023-07-31,33.4,23.2,98.0,0.0
