Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : REQUENA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,REQUENA
Latitud :,5°2'35.06'',Longitud :,73°50'10.09'',Altitud :,109 msnm.
Tipo :,CO - Meteorológica,Código :,105095
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2024-01-01,S/D,S/D,S/D,S/D
2024-01-02,33.8,23,92.1,0.0
2024-01-03,32,24.2,95.7,14.7
2024-01-04,32.2,24.4,96.1,1.0
2024-01-05,31,23.8,93.3,0.6
2024-01-06,33.4,22.4,85.0,S/D
2024-01-07,S/D,S/D,S/D,S/D
2024-01-08,29.2,23.4,94.5,14.3
2024-01-09,30,22.6,95.0,23.0
2024-01-10,31.8,23.4,93.7,5.5
2024-01-11,32,22.6,92.5,23.0
2024-01-12,29.2,23.2,95.9,0.0
2024-01-13,33.4,22.4,92.7,41.7
2024-01-14,32.8,23,91.2,0.0
2024-01-15,31.4,23.2,93.8,25.3
2024-01-16,31.6,23,93.7,8.6
2024-01-17,26.2,23.2,97.3,14.2
2024-01-18,30.8,23.4,96.0,6.5
2024-01-19,30.2,23,92.2,5.0
2024-01-20,30,23.4,97.9,7.5
2024-01-21,32,23,95.1,0.0
2024-01-22,31.6,23.2,96.1,20.6
2024-01-23,28.6,23.4,97.4,0.0
2024-01-24,32.8,22.8,90.4,0.0
2024-01-25,34.2,23.6,91.6,0.0
2024-01-26,33.2,23.4,93.0,0.0
2024-01-27,33,23.2,92.4,0.0
2024-01-28,31.4,23.4,95.1,0.0
2024-01-29,33,23.2,95.6,0.0
2024-01-30,34.2,24,89.6,2.2
2024-01-31,29.6,23.8,95.0,0.8
