Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN LORENZO
Departamento :,LORETO,Provincia :,ALTO AMAZONAS,Distrito :,BARRANCA
Latitud :,4°49'46.35'',Longitud :,76°33'17.16'',Altitud :,134 msnm.
Tipo :,CO - Meteorológica,Código :,104057
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2022-06-01,S/D,S/D,S/D,S/D
2022-06-02,S/D,S/D,S/D,S/D
2022-06-03,31.9,22.6,93.7,9.8
2022-06-04,33.5,21.6,89.9,0.0
2022-06-05,31.6,22.2,88.1,9.2
2022-06-06,27,23.2,93.4,4.3
2022-06-07,33.2,22.4,91.1,0.0
2022-06-08,29.7,23.4,94.4,0.0
2022-06-09,32.4,22.2,91.5,0.0
2022-06-10,30.6,22.6,98.6,37.0
2022-06-11,26.6,21.6,98.3,15.6
2022-06-12,29.8,18.4,93.2,0.0
2022-06-13,29.4,20,91.8,0.0
2022-06-14,31,18.4,91.5,0.0
2022-06-15,31.4,18.6,98.0,0.0
2022-06-16,33.7,18.8,89.8,0.0
2022-06-17,32.4,22,91.4,0.0
2022-06-18,33.8,22,90.2,37.1
2022-06-19,30.6,23,96.9,0.0
2022-06-20,32.9,22,96.1,15.4
2022-06-21,30.8,22,93.2,1.5
2022-06-22,28.8,23.2,94.0,18.0
2022-06-23,33.4,23,90.6,35.0
2022-06-24,31.6,21.6,94.2,22.7
2022-06-25,30.2,21.8,94.0,0.0
2022-06-26,33.2,21.6,92.3,0.0
2022-06-27,34.2,21.6,88.0,0.0
2022-06-28,33.8,21,87.5,0.0
2022-06-29,34.6,23,86.9,0.0
2022-06-30,30.8,23.4,92.8,16.7
2022-07-01,34.4,21.4,88.2,S/D
