Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN RAMON
Departamento :,LORETO,Provincia :,ALTO AMAZONAS,Distrito :,YURIMAGUAS
Latitud :,5°56'8.13'',Longitud :,76°7'5.27'',Altitud :,142 msnm.
Tipo :,CP - Meteorológica,Código :,100128
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-03-01,29,24.4,88.6,0.0
2020-03-02,33.8,23.6,80.0,0.0
2020-03-03,34,23.2,75.9,0.0
2020-03-04,31.8,23.8,82.4,0.0
2020-03-05,33.2,23.2,84.3,6.2
2020-03-06,33.5,22.6,80.6,42.3
2020-03-07,32.4,22.2,84.2,0.0
2020-03-08,33.2,23.8,79.1,0.0
2020-03-09,26.6,24,94.7,6.0
2020-03-10,32.5,23.8,84.0,6.1
2020-03-11,30.6,22.8,85.5,0.0
2020-03-12,34,22,73.8,0.0
2020-03-13,35.2,21.6,77.4,0.0
2020-03-14,31.2,22,81.1,0.0
2020-03-15,36.4,23.4,73.3,0.0
2020-03-16,34.6,23.6,80.0,30.5
2020-03-17,S/D,23,S/D,S/D
2020-03-19,S/D,S/D,S/D,S/D
2020-03-20,S/D,S/D,S/D,S/D
2020-03-21,S/D,S/D,S/D,S/D
2020-03-22,S/D,S/D,S/D,S/D
2020-03-23,S/D,S/D,S/D,S/D
2020-03-24,S/D,S/D,S/D,S/D
2020-03-25,S/D,S/D,S/D,S/D
2020-03-26,S/D,S/D,S/D,S/D
2020-03-27,S/D,S/D,S/D,S/D
2020-03-28,S/D,S/D,S/D,S/D
2020-03-29,S/D,S/D,S/D,S/D
2020-03-30,S/D,S/D,S/D,S/D
2020-03-31,S/D,S/D,S/D,S/D
