Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN REGIS
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'46.83'',Longitud :,73°54'27.02'',Altitud :,101 msnm.
Tipo :,PE - Meteorológica,Código :,104098
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2023-06-01,31.6,22.6,91.1,30.1
2023-06-02,29.6,21.6,96.4,20.1
2023-06-03,30.2,21.4,80.4,S/D
2023-06-04,S/D,S/D,S/D,S/D
2023-06-05,31.8,21.6,91.6,8.8
2023-06-06,31.6,22.2,92.1,7.5
2023-06-07,31.2,22,88.4,0.0
2023-06-08,31.4,22.2,88.9,0.0
2023-06-09,31,22,91.2,0.0
2023-06-10,29.6,22.2,96.0,S/D
2023-06-11,S/D,S/D,S/D,S/D
2023-06-12,32.4,21.8,91.9,35.2
2023-06-13,31.4,21.4,89.4,18.2
2023-06-14,30.2,21.4,90.2,3.8
2023-06-15,21.2,16,95.7,0.0
2023-06-16,25.8,16.8,95.0,0.0
2023-06-17,27.4,18.2,94.8,S/D
2023-06-18,S/D,S/D,S/D,S/D
2023-06-19,32.2,19.4,89.9,0.0
2023-06-20,32,19.4,92.0,0.0
2023-06-21,33,20.8,91.5,0.0
2023-06-22,33.4,21.8,89.8,0.0
2023-06-23,33,21.6,90.2,0.0
2023-06-24,32.4,21.6,88.5,S/D
2023-06-25,S/D,S/D,S/D,S/D
2023-06-26,31.4,22.4,88.8,0.0
2023-06-27,31.8,22.4,92.6,0.0
2023-06-28,32.4,21.2,85.7,13.3
2023-06-29,31.8,22.4,90.7,0.0
2023-06-30,32.8,22.2,89.4,0.0
