Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN REGIS
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'46.83'',Longitud :,73°54'27.02'',Altitud :,101 msnm.
Tipo :,PE - Meteorológica,Código :,104098
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2023-08-01,33,22.2,88.9,12.2
2023-08-02,30.2,21.6,89.7,0.0
2023-08-03,32.8,20.2,91.7,0.0
2023-08-04,33,21,88.8,68.2
2023-08-05,32.6,20.8,92.1,S/D
2023-08-06,S/D,S/D,S/D,S/D
2023-08-07,33.6,21.2,90.9,0.0
2023-08-08,34.2,21.4,90.7,3.3
2023-08-09,33.4,21.8,88.4,0.0
2023-08-10,34.4,20.4,87.3,0.0
2023-08-11,33.4,20.8,89.9,0.0
2023-08-12,31.2,21,88.0,S/D
2023-08-13,S/D,S/D,S/D,S/D
2023-08-14,31.2,20,92.9,0.0
2023-08-15,32.4,21.2,85.7,0.0
2023-08-16,34.4,20,81.6,0.0
2023-08-17,34.8,19.6,84.9,0.0
2023-08-18,35.4,20,S/D,0.0
2023-08-19,35.4,20.4,87.0,S/D
2023-08-20,S/D,S/D,S/D,S/D
2023-08-21,34.2,22.6,88.2,0.0
2023-08-22,32.2,22.4,90.1,0.0
2023-08-23,35.2,21.2,S/D,0.0
2023-08-24,36.2,21.8,S/D,58.4
2023-08-25,34.8,20.4,S/D,0.0
2023-08-26,35.8,20.2,S/D,S/D
2023-08-27,S/D,S/D,S/D,S/D
2023-08-28,34.4,20,S/D,0.0
2023-08-29,34.2,21.2,88.8,S/D
2023-08-30,S/D,S/D,S/D,S/D
2023-08-31,35.8,21.2,S/D,0.0
