Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN REGIS
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'46.83'',Longitud :,73°54'27.02'',Altitud :,101 msnm.
Tipo :,PE - Meteorológica,Código :,104098
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2025-11-01,S/D,23.2,S/D,9.2
2025-11-02,34.2,23,90.9,1.2
2025-11-03,34.2,22,89.8,1.6
2025-11-04,32.8,21.8,92.5,87.7
2025-11-05,31,21.6,91.5,24.9
2025-11-06,33.2,22.8,92.7,22.8
2025-11-07,35,23,86.2,0.9
2025-11-08,34.8,23.6,82.3,0.0
2025-11-09,33.2,24.4,89.5,18.1
2025-11-10,27.8,S/D,97.8,44.4
2025-11-11,33.2,23.2,89.3,0.3
2025-11-12,33.6,23.4,88.8,72.6
2025-11-13,33.4,23.2,87.6,0.6
2025-11-14,30.4,23.8,93.2,13.5
2025-11-15,29.8,23.6,95.2,3.6
2025-11-16,32.6,23.2,89.4,0.3
2025-11-17,32.6,23.4,89.2,22.4
2025-11-18,32.8,23.8,89.0,8.3
2025-11-19,32.4,23.2,91.9,2.6
2025-11-20,34.2,23.2,87.9,11.0
2025-11-21,35.2,22.8,81.7,1.1
2025-11-22,32.2,23.8,90.5,46.7
2025-11-23,33.2,23.2,89.0,0.0
2025-11-24,31.6,23.4,91.3,1.0
2025-11-25,32,23.2,89.3,0.0
2025-11-26,32.8,23.8,88.8,54.6
2025-11-27,27.8,23.2,95.9,13.2
2025-11-28,30.8,22.8,91.8,0.0
2025-11-29,34.4,22.6,87.2,0.0
2025-11-30,33.2,23.2,87.0,S/D
