Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ROQUE
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
Latitud :,3°47'11.6'',Longitud :,73°17'35.7'',Altitud :,106 msnm.
Tipo :,CP - Meteorológica,Código :,103052
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2023-07-01,32.8,22.2,85.2,S/D
2023-07-02,S/D,S/D,S/D,S/D
2023-07-03,33.4,22.6,86.7,0.0
2023-07-04,32.2,23,85.1,0.5
2023-07-05,33.8,23.8,S/D,0.4
2023-07-06,31.6,23.4,92.0,2.1
2023-07-07,33.2,23,87.7,1.4
2023-07-08,32.6,23.6,85.5,S/D
2023-07-09,S/D,S/D,S/D,S/D
2023-07-10,33.8,23.4,85.3,7.7
2023-07-11,33.2,24,86.9,0.0
2023-07-12,34,22.8,85.0,0.0
2023-07-13,34.8,23.6,85.5,0.0
2023-07-14,30,24.4,93.1,4.6
2023-07-15,31.6,22.8,91.8,S/D
2023-07-16,S/D,S/D,S/D,S/D
2023-07-17,32.2,23,89.7,0.1
2023-07-18,33.4,23.6,86.2,39.4
2023-07-19,29.6,22.8,92.9,9.5
2023-07-20,30,22,94.5,7.3
2023-07-21,33.4,21.8,86.4,0.0
2023-07-22,34.2,23,83.8,S/D
2023-07-23,S/D,S/D,S/D,S/D
2023-07-24,29.6,23.8,93.2,16.1
2023-07-25,33.6,22.4,85.7,0.0
2023-07-26,34.2,23.8,82.1,0.0
2023-07-27,34.8,23,84.1,S/D
2023-07-28,S/D,S/D,S/D,S/D
2023-07-29,S/D,S/D,S/D,S/D
2023-07-30,S/D,S/D,S/D,S/D
2023-07-31,32.6,23.4,87.6,16.8
