Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ROQUE
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
Latitud :,3°47'11.6'',Longitud :,73°17'35.7'',Altitud :,106 msnm.
Tipo :,CP - Meteorológica,Código :,103052
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2023-08-01,27.8,22,S/D,8.3
2023-08-02,32,21.6,87.8,0.0
2023-08-03,33.4,22.8,85.2,0.0
2023-08-04,33.8,23.2,82.1,0.0
2023-08-05,32.8,23.6,86.3,S/D
2023-08-06,S/D,S/D,S/D,S/D
2023-08-07,34.6,24,85.3,0.0
2023-08-08,33,23.2,82.8,2.8
2023-08-09,33.4,22.4,85.5,0.0
2023-08-10,34.6,23.6,82.3,0.0
2023-08-11,32.6,24,85.7,15.8
2023-08-12,30.2,22.8,91.7,S/D
2023-08-13,S/D,S/D,S/D,S/D
2023-08-14,29.8,22.4,92.0,0.0
2023-08-15,32.8,22.6,87.5,0.0
2023-08-16,34,23.2,84.5,0.0
2023-08-17,35.4,23.6,81.1,0.0
2023-08-18,35.8,24.2,79.1,0.0
2023-08-19,36.2,24.6,82.4,S/D
2023-08-20,S/D,S/D,S/D,S/D
2023-08-21,35,23.2,84.1,0.4
2023-08-22,33.4,24,87.7,0.6
2023-08-23,34.6,23.4,84.0,0.0
2023-08-24,36.4,24.2,83.7,5.9
2023-08-25,34.8,23,83.4,0.0
2023-08-26,36.6,24,79.9,S/D
2023-08-27,S/D,S/D,S/D,S/D
2023-08-28,35.2,23.4,82.4,0.0
2023-08-29,35.6,23.8,81.1,S/D
2023-08-30,S/D,S/D,S/D,S/D
2023-08-31,36.8,24.2,79.4,0.0
