Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ROQUE
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
Latitud :,3°47'11.6'',Longitud :,73°17'35.7'',Altitud :,106 msnm.
Tipo :,CP - Meteorológica,Código :,103052
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2024-01-01,S/D,S/D,S/D,S/D
2024-01-02,35.2,24.2,82.3,0.0
2024-01-03,33.4,23.6,88.1,5.1
2024-01-04,35.2,23.2,87.3,2.8
2024-01-05,33.6,24,85.5,0.0
2024-01-06,34.4,22.8,86.4,0.0
2024-01-07,35.6,24.6,87.4,0.0
2024-01-08,32.4,23,89.6,21.0
2024-01-09,33,22.4,87.0,0.0
2024-01-10,34.6,23.2,86.5,15.1
2024-01-11,34.8,22.8,86.1,22.5
2024-01-12,32.2,22.6,87.5,0.0
2024-01-13,34,23.4,84.7,0.6
2024-01-14,35.4,24.2,86.6,0.0
2024-01-15,32.8,24.4,86.7,30.3
2024-01-16,32.6,23.4,91.7,32.0
2024-01-17,27.2,22,93.7,22.8
2024-01-18,30.2,22.4,90.5,14.4
2024-01-19,31.6,22.8,89.7,1.7
2024-01-20,30.6,23,91.4,18.1
2024-01-21,32,23.2,91.7,0.0
2024-01-22,33.2,23.4,90.5,78.6
2024-01-23,34.4,23,85.3,0.0
2024-01-24,34.2,24,84.5,0.0
2024-01-25,33.4,23.6,80.9,2.6
2024-01-26,34.2,24.6,87.3,0.0
2024-01-27,33.2,23.8,88.5,0.0
2024-01-28,33.6,23.6,77.9,0.0
2024-01-29,34,23,83.7,0.0
2024-01-30,34.8,23.6,83.3,11.2
2024-01-31,32,22.8,S/D,3.8
