Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN ROQUE
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
Latitud :,3°47'11.6'',Longitud :,73°17'35.7'',Altitud :,106 msnm.
Tipo :,CP - Meteorológica,Código :,103052
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2026-02-01,28.9,22.8,S/D,8.2
2026-02-02,32.2,23,90.9,9.6
2026-02-03,32.5,23.4,88.9,0.0
2026-02-04,34.2,24,84.5,6.8
2026-02-05,31.9,23.2,91.4,11.2
2026-02-06,33.4,22.8,86.4,0.0
2026-02-07,34.6,24.2,87.0,3.9
2026-02-08,33.6,22.8,89.1,9.7
2026-02-09,33.7,23,85.9,0.0
2026-02-10,34.1,24.4,84.3,41.0
2026-02-11,32.7,22.4,89.2,0.7
2026-02-12,35,24,88.1,36.7
2026-02-13,26.3,22.8,94.7,S/D
2026-02-14,S/D,S/D,S/D,S/D
2026-02-15,S/D,S/D,90.3,0.0
2026-02-16,S/D,S/D,93.7,45.0
2026-02-17,S/D,S/D,96.9,17.8
2026-02-18,S/D,S/D,88.0,3.3
2026-02-19,S/D,S/D,92.3,2.0
2026-02-20,S/D,S/D,89.6,13.6
2026-02-21,S/D,S/D,89.5,0.4
2026-02-22,S/D,S/D,89.6,0.0
2026-02-23,S/D,S/D,87.5,0.0
2026-02-24,S/D,S/D,90.0,37.3
2026-02-25,S/D,S/D,94.0,2.9
2026-02-26,S/D,S/D,92.7,0.0
2026-02-27,S/D,S/D,88.8,0.0
2026-02-28,S/D,S/D,86.6,0.0
