Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTA CLOTILDE
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,NAPO
Latitud :,2°29'15.3'',Longitud :,73°40'45.1'',Altitud :,118 msnm.
Tipo :,CO - Meteorológica,Código :,102009
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2023-06-01,28.2,23,94.9,38.5
2023-06-02,28,22.2,93.4,6.6
2023-06-03,30.2,22,87.6,S/D
2023-06-04,S/D,S/D,S/D,S/D
2023-06-05,31,23,86.1,0.5
2023-06-06,30,23.4,91.5,4.0
2023-06-07,30.2,22.4,89.8,0.0
2023-06-08,S/D,22.8,S/D,5.0
2023-06-09,30.2,23.4,91.7,21.1
2023-06-10,27.2,23.2,95.7,S/D
2023-06-11,S/D,S/D,S/D,S/D
2023-06-12,31,23.4,89.6,15.3
2023-06-13,27,23,S/D,7.0
2023-06-14,29,S/D,91.9,4.3
2023-06-15,23,17.4,92.1,0.0
2023-06-16,S/D,17.2,S/D,0.0
2023-06-17,26,19.2,84.1,S/D
2023-06-18,S/D,S/D,S/D,S/D
2023-06-19,31,22,83.5,0.0
2023-06-20,30.2,23,88.4,3.4
2023-06-21,S/D,22.8,S/D,0.0
2023-06-22,32,23.4,85.7,0.0
2023-06-23,32.2,23.6,84.6,39.5
2023-06-24,32,23,87.8,S/D
2023-06-25,S/D,S/D,S/D,S/D
2023-06-26,31,23.4,88.5,18.8
2023-06-27,31.2,23,85.9,20.2
2023-06-28,29.2,23.2,91.4,S/D
2023-06-29,S/D,S/D,S/D,S/D
2023-06-30,31.2,23,87.2,7.0
