Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTA CLOTILDE
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,NAPO
Latitud :,2°29'15.3'',Longitud :,73°40'45.1'',Altitud :,118 msnm.
Tipo :,CO - Meteorológica,Código :,102009
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2024-01-01,S/D,S/D,S/D,S/D
2024-01-02,35.2,24.4,83.8,0.0
2024-01-03,35,25.2,85.5,6.6
2024-01-04,35.4,23.8,81.9,0.0
2024-01-05,32.4,24.6,85.4,0.0
2024-01-06,34.6,23.8,77.5,S/D
2024-01-07,S/D,S/D,S/D,S/D
2024-01-08,34.4,24.8,80.3,8.4
2024-01-09,30.8,24,87.7,0.0
2024-01-10,34,23.8,82.6,0.0
2024-01-11,34.8,23,84.7,63.5
2024-01-12,30,22.4,91.1,0.0
2024-01-13,34.6,24.2,81.1,0.0
2024-01-14,34,24,81.9,0.0
2024-01-15,32,23.6,84.3,18.6
2024-01-16,32.2,S/D,87.6,41.8
2024-01-17,26,24,93.7,18.5
2024-01-18,28.2,24.2,92.8,14.1
2024-01-19,30,23,91.9,2.1
2024-01-20,32,24,89.4,35.2
2024-01-21,32.2,24.4,86.9,3.3
2024-01-22,33.2,23,91.4,29.0
2024-01-23,32,23.2,87.4,0.0
2024-01-24,32.2,24,85.7,0.0
2024-01-25,34,24.4,82.5,0.0
2024-01-26,35,25.8,81.1,0.0
2024-01-27,34,25.4,83.2,0.0
2024-01-28,33,24.2,83.1,0.0
2024-01-29,33.2,24.6,83.1,0.0
2024-01-30,S/D,25.4,S/D,8.7
2024-01-31,31.2,23.6,86.1,0.0
