Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTA RITA DE CASTILLA
Departamento :,LORETO,Provincia :,LORETO,Distrito :,PARINARI
Latitud :,4°35'31.77'',Longitud :,74°22'50.14'',Altitud :,104 msnm.
Tipo :,PE - Meteorológica,Código :,104065
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2023-06-01,30.4,21.8,89.7,8.2
2023-06-02,28.2,21.4,95.7,8.4
2023-06-03,30.8,22.2,90.4,S/D
2023-06-04,S/D,S/D,S/D,S/D
2023-06-05,31.2,22.6,91.5,22.2
2023-06-06,31.2,22.8,89.0,6.2
2023-06-07,32.2,22.4,85.4,4.2
2023-06-08,30.8,20.8,87.8,0.0
2023-06-09,31.8,21.2,87.0,0.0
2023-06-10,31.2,21.8,89.6,S/D
2023-06-11,S/D,S/D,S/D,S/D
2023-06-12,32.2,21.4,86.7,0.0
2023-06-13,31.4,21.6,95.8,0.0
2023-06-14,29.2,21,93.8,0.0
2023-06-15,S/D,17.8,S/D,0.0
2023-06-16,25.2,17.6,96.5,0.0
2023-06-17,27.6,17.4,90.6,S/D
2023-06-18,S/D,S/D,S/D,S/D
2023-06-19,31.8,18.8,88.2,0.0
2023-06-20,32,20.8,88.2,0.0
2023-06-21,32.4,21.2,87.1,0.0
2023-06-22,33.2,21.6,89.2,0.0
2023-06-23,31.2,21.2,88.0,12.2
2023-06-24,31.4,20.8,91.0,S/D
2023-06-25,S/D,S/D,S/D,S/D
2023-06-26,30.8,22.8,90.5,0.0
2023-06-27,31.2,21.2,88.6,0.0
2023-06-28,32,21.4,85.9,S/D
2023-06-29,S/D,S/D,S/D,S/D
2023-06-30,32.4,20.6,87.7,0.0
