Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTA RITA DE CASTILLA
Departamento :,LORETO,Provincia :,LORETO,Distrito :,PARINARI
Latitud :,4°35'31.77'',Longitud :,74°22'50.14'',Altitud :,104 msnm.
Tipo :,PE - Meteorológica,Código :,104065
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2024-01-01,S/D,S/D,S/D,S/D
2024-01-02,33.4,22.4,88.5,0.0
2024-01-03,34.4,22.8,85.5,17.4
2024-01-04,33.8,22.2,88.6,8.2
2024-01-05,32.2,22.4,87.4,10.2
2024-01-06,34.2,22.4,85.7,S/D
2024-01-07,S/D,S/D,S/D,S/D
2024-01-08,29.2,22.2,94.9,101.4
2024-01-09,30.2,22.8,92.8,0.0
2024-01-10,32.8,21.8,92.1,10.2
2024-01-11,31.6,21.6,93.3,4.2
2024-01-12,30.2,21.2,93.2,0.0
2024-01-13,34.2,22.2,87.1,5.2
2024-01-14,33.8,22,89.4,14.2
2024-01-15,32.4,22.6,88.2,56.4
2024-01-16,31.4,22.6,92.3,55.6
2024-01-17,29.8,21.2,93.1,12.4
2024-01-18,31.4,22.2,92.0,16.2
2024-01-19,32.2,22.4,91.6,0.0
2024-01-20,34.2,21.4,89.0,8.2
2024-01-21,32.8,21.8,92.7,15.2
2024-01-22,32.2,22,91.2,24.2
2024-01-23,30.2,22.6,92.9,0.0
2024-01-24,32.4,21.6,89.6,0.0
2024-01-25,34.2,22.6,86.8,0.0
2024-01-26,34.8,21.2,92.0,0.0
2024-01-27,34.6,22.2,91.6,0.0
2024-01-28,31.4,22.4,89.0,0.0
2024-01-29,33.8,22.8,93.1,0.0
2024-01-30,33.2,22.6,94.6,10.2
2024-01-31,30.4,21.8,90.5,0.0
