Estación : BILINGURSTH
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°33'38.97'',Longitud :,69°11'22.15'',Altitud :,198 msnm.
Tipo :,EHMA - Hidrológica,Código :,260700
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2025/06/01,00:00,8.75,0.0
2025/06/01,01:00,8.74,0.0
2025/06/01,02:00,8.73,0.0
2025/06/01,03:00,8.72,0.0
2025/06/01,04:00,8.69,0.0
2025/06/01,05:00,8.69,0.0
2025/06/01,06:00,8.67,0.0
2025/06/01,07:00,8.66,0.0
2025/06/01,08:00,8.64,0.0
2025/06/01,09:00,8.61,0.0
2025/06/01,10:00,8.60,0.0
2025/06/01,11:00,8.59,0.0
2025/06/01,12:00,8.57,0.0
2025/06/01,13:00,8.56,0.0
2025/06/01,14:00,8.53,0.0
2025/06/01,15:00,8.52,0.0
2025/06/01,16:00,8.50,0.0
2025/06/01,17:00,8.48,0.0
2025/06/01,18:00,8.47,0.0
2025/06/01,19:00,8.46,0.0
2025/06/01,20:00,8.43,0.0
2025/06/01,21:00,8.42,0.0
2025/06/01,22:00,8.40,0.0
2025/06/01,23:00,8.38,0.0
2025/06/02,00:00,8.36,0.0
2025/06/02,01:00,8.35,0.0
2025/06/02,02:00,8.33,0.0
2025/06/02,03:00,8.34,0.0
2025/06/02,04:00,8.32,0.0
2025/06/02,05:00,8.32,0.0
2025/06/02,06:00,8.31,0.0
2025/06/02,07:00,8.32,0.0
2025/06/02,08:00,8.32,0.0
2025/06/02,09:00,8.32,0.0
2025/06/02,10:00,8.32,0.0
2025/06/02,11:00,8.31,0.0
2025/06/02,12:00,8.30,0.0
2025/06/02,13:00,8.28,0.0
2025/06/02,14:00,8.27,0.0
2025/06/02,15:00,8.27,0.0
2025/06/02,16:00,8.26,0.0
2025/06/02,17:00,8.25,0.0
2025/06/02,18:00,8.24,0.0
2025/06/02,19:00,8.22,0.0
2025/06/02,20:00,8.19,0.0
2025/06/02,21:00,8.19,0.0
2025/06/02,22:00,8.17,0.0
2025/06/02,23:00,8.15,0.0
2025/06/03,00:00,8.14,0.0
2025/06/03,01:00,8.13,0.0
2025/06/03,02:00,8.10,0.0
