Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : BILINGURSTH
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°33'38.97'',Longitud :,69°11'22.15'',Altitud :,198 msnm.
Tipo :,EHMA - Hidrológica,Código :,260700
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2026/01/01,00:00,11.86,0.0
2026/01/01,01:00,11.86,0.0
2026/01/01,02:00,11.85,0.0
2026/01/01,03:00,11.86,3.4
2026/01/01,04:00,11.85,0.9
2026/01/01,05:00,11.86,4.0
2026/01/01,06:00,11.83,0.9
2026/01/01,07:00,11.84,0.9
2026/01/01,08:00,11.82,0.0
2026/01/01,09:00,11.82,0.0
2026/01/01,10:00,11.81,0.0
2026/01/01,11:00,11.82,0.0
2026/01/01,12:00,11.83,0.0
2026/01/01,13:00,11.81,0.0
2026/01/01,14:00,11.79,0.0
2026/01/01,15:00,11.83,0.0
