Estación : PUENTE HERRERA
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°36'48.98'',Longitud :,69°11'38.88'',Altitud :,203 msnm.
Tipo :,EHMA - Hidrológica,Código :,260402
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2024/10/01,00:00,1.38,0.0
2024/10/01,01:00,1.27,0.0
2024/10/01,02:00,1.39,0.0
2024/10/01,03:00,1.36,0.0
2024/10/01,04:00,1.54,0.0
2024/10/01,05:00,1.30,0.0
2024/10/01,06:00,1.38,0.0
2024/10/01,07:00,1.48,0.0
2024/10/01,08:00,1.54,0.0
2024/10/01,09:00,1.53,0.0
2024/10/01,10:00,1.42,0.0
2024/10/01,11:00,1.50,0.0
2024/10/01,12:00,1.46,0.0
2024/10/01,13:00,1.55,0.0
2024/10/01,14:00,1.40,0.0
2024/10/01,15:00,1.45,0.0
2024/10/01,16:00,1.43,0.0
2024/10/01,17:00,1.53,0.0
2024/10/01,18:00,1.54,0.0
2024/10/01,19:00,1.37,0.0
2024/10/01,20:00,1.49,0.0
2024/10/01,21:00,1.39,0.0
2024/10/01,22:00,1.40,0.0
2024/10/01,23:00,1.32,0.0
2024/10/02,00:00,1.42,0.0
2024/10/02,01:00,1.37,0.0
2024/10/02,02:00,1.43,0.0
2024/10/02,03:00,1.31,0.0
2024/10/02,04:00,1.40,0.0
2024/10/02,05:00,1.40,0.0
2024/10/02,06:00,1.40,0.0
2024/10/02,07:00,1.30,0.0
2024/10/02,08:00,1.34,0.0
2024/10/02,09:00,1.53,0.0
2024/10/02,10:00,1.59,0.0
2024/10/02,11:00,1.61,0.0
2024/10/02,12:00,1.49,0.0
2024/10/02,13:00,1.66,0.0
2024/10/02,14:00,1.51,0.0
2024/10/02,15:00,1.56,0.0
2024/10/02,16:00,1.55,0.0
2024/10/02,17:00,1.58,0.0
2024/10/02,18:00,1.59,0.0
2024/10/02,19:00,1.51,0.0
2024/10/02,20:00,1.45,0.0
2024/10/02,21:00,1.45,0.0
2024/10/02,22:00,1.34,0.0
2024/10/02,23:00,1.26,0.0
2024/10/03,00:00,1.52,0.0
2024/10/03,01:00,1.54,0.0
2024/10/03,02:00,1.55,0.0
