Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE INAMBARI
Departamento :,MADRE DE DIOS,Provincia :,MANU,Distrito :,HUEPETUHE
Latitud :,13°11'10.97'',Longitud :,70°23'2.44'',Altitud :,374 msnm.
Tipo :,HLM - Hidrológica,Código :,113251
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-07-01,9.40,9.30,9.20,9.20,9.28
2025-07-02,9.05,9.05,9.00,9.00,9.03
2025-07-03,9.10,9.10,9.00,9.00,9.05
2025-07-04,9.00,9.00,8.90,8.90,8.95
2025-07-05,9.10,9.05,9.00,9.00,9.04
2025-07-06,9.25,9.20,9.30,9.20,9.24
2025-07-07,9.00,9.00,8.90,8.90,8.95
2025-07-08,8.90,8.90,8.75,8.75,8.83
2025-07-09,9.00,8.95,8.90,8.90,8.94
2025-07-10,8.85,8.85,8.80,8.80,8.83
2025-07-11,8.80,8.80,8.90,8.90,8.85
2025-07-12,8.80,8.80,8.75,8.75,8.78
2025-07-13,8.75,8.75,8.90,8.90,8.83
2025-07-14,8.80,8.80,8.75,8.75,8.78
2025-07-15,8.75,8.75,8.70,8.70,8.73
2025-07-16,8.70,8.70,8.70,8.70,8.70
2025-07-17,8.70,8.70,8.75,8.70,8.71
2025-07-18,8.65,8.65,8.70,8.70,8.68
2025-07-19,8.65,8.65,8.70,8.70,8.68
2025-07-20,8.65,8.65,8.60,8.60,8.63
2025-07-21,8.65,8.65,8.60,8.60,8.63
2025-07-22,8.65,8.65,8.60,8.60,8.63
2025-07-23,8.60,8.60,8.60,8.60,8.60
2025-07-24,8.60,8.60,8.55,8.55,8.58
2025-07-25,8.60,8.60,8.55,8.55,8.58
2025-07-26,8.70,8.70,8.60,8.60,8.65
2025-07-27,8.75,8.70,8.60,8.60,8.66
2025-07-28,8.65,8.65,8.60,8.60,8.63
2025-07-29,8.90,8.85,8.80,8.80,8.84
2025-07-30,8.95,8.95,9.00,9.00,8.98
2025-07-31,8.90,8.90,8.80,8.80,8.85
