Estación : IÑAPARI
Departamento :,MADRE DE DIOS,Provincia :,TAHUAMANU,Distrito :,IÑAPARI
Latitud :,10°57'21.2'',Longitud :,69°34'40.7'',Altitud :,245 msnm.
Tipo :,EAMA - Meteorológica,Código :,472587E0
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/07/01,00:00,16.5,0.0,85,131,3.7
2025/07/01,01:00,16.3,0.0,85,141,2.1
2025/07/01,02:00,15.9,0.0,83,153,3.2
2025/07/01,03:00,15.3,0.0,84,134,2.3
2025/07/01,04:00,14.7,0.0,85,157,2.4
2025/07/01,05:00,14.5,0.0,85,144,2.6
2025/07/01,06:00,14.3,0.0,84,168,2.3
2025/07/01,07:00,14.6,0.0,84,156,2.9
2025/07/01,08:00,15.2,0.0,82,134,3.5
2025/07/01,09:00,16.0,0.0,80,140,2.4
2025/07/01,10:00,16.6,0.0,77,116,4.0
2025/07/01,11:00,17.5,0.0,76,125,3.6
2025/07/01,12:00,18.6,0.0,73,117,3.2
2025/07/01,13:00,18.6,0.0,74,149,2.4
2025/07/01,14:00,18.1,0.0,75,135,2.9
2025/07/01,15:00,18.0,0.0,76,127,3.1
2025/07/01,16:00,17.7,0.0,78,163,3.3
2025/07/01,17:00,17.2,0.0,81,143,2.1
2025/07/01,18:00,16.6,0.0,85,112,1.2
2025/07/01,19:00,16.4,0.0,85,119,1.9
2025/07/01,20:00,16.3,0.0,85,128,0.9
2025/07/01,21:00,16.1,0.0,85,119,1.0
2025/07/01,22:00,14.4,0.0,94,161,0.0
2025/07/01,23:00,13.4,0.0,97,217,0.0
2025/07/02,00:00,13.0,0.0,98,211,0.8
2025/07/02,01:00,13.1,0.0,99,153,0.9
2025/07/02,02:00,13.0,0.0,96,151,0.9
2025/07/02,03:00,12.8,0.0,96,161,0.8
2025/07/02,04:00,12.6,0.0,95,144,1.6
2025/07/02,05:00,12.3,0.0,95,144,1.2
2025/07/02,06:00,12.1,0.0,95,150,1.1
2025/07/02,07:00,
