Estación : MALINOWSKY
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,INAMBARI
Latitud :,12°56'2.8'',Longitud :,69°31'3'',Altitud :,220 msnm.
Tipo :,EMA - Meteorológica,Código :,47E8336C
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/07/01,00:00,13.9,0.0,99,3,0.0
2021/07/01,01:00,13.5,0.0,99,355,0.0
2021/07/01,02:00,13.1,0.0,99,357,0.0
2021/07/01,03:00,12.7,0.0,99,357,0.0
2021/07/01,04:00,12.3,0.0,99,360,0.0
2021/07/01,05:00,12.0,0.0,100,351,0.0
2021/07/01,06:00,11.7,0.0,100,19,0.0
2021/07/01,07:00,11.3,0.0,100,358,0.0
2021/07/01,08:00,11.3,0.0,100,356,0.0
2021/07/01,09:00,12.5,0.0,99,107,0.0
2021/07/01,10:00,16.3,0.0,84,198,0.0
2021/07/01,11:00,19.9,0.0,71,80,0.2
2021/07/01,12:00,22.4,0.0,63,216,0.5
2021/07/01,13:00,24.0,0.0,62,207,0.4
2021/07/01,14:00,25.4,0.0,58,225,0.5
2021/07/01,15:00,25.4,0.0,54,29,0.4
2021/07/01,16:00,24.8,0.0,54,47,0.3
2021/07/01,17:00,21.9,0.0,68,44,0.1
2021/07/01,18:00,19.5,0.0,72,59,0.1
2021/07/01,19:00,18.2,0.0,89,51,0.0
2021/07/01,20:00,17.0,0.0,96,12,0.0
2021/07/01,21:00,16.1,0.0,98,10,0.0
2021/07/01,22:00,15.5,0.0,98,10,0.0
2021/07/01,23:00,15.1,0.0,99,1,0.0
2021/07/02,00:00,14.7,0.0,99,3,0.0
2021/07/02,01:00,14.3,0.0,99,1,0.0
2021/07/02,02:00,14.0,0.0,100,1,0.0
2021/07/02,03:00,13.7,0.0,100,1,0.0
2021/07/02,04:00,13.7,0.0,100,3,0.0
2021/07/02,05:00,13.4,0.0,100,10,0.0
2021/07/02,06:00,13.1,0.0,100,1,0.0
2021/07/02,07:00,12.9,0.0,100,5,0.0
2021/07/02,08:00,13.0,0.0,100,360,0.0
2021/07/02,09:00,14.1,0.0,100,347,0.0
2021/07/02,10:00,17.8,0.0,89,187,0.0
2021/07/02,11:00,21.7,0.0,75,279,0.0
2021/07/02,12:00,24.0,0.0,66,168,0.1
2021/07/02,13:00,26.3,0.0,58,215,0.2
2021/07/02,14:00,27.6,0.0,54,224,0.0
2021/07/02,15:00,27.6,0.0,52,192,0.0
2021/07/02,16:00,26.7,0.0,55,228,0.0
2021/07/02,17:00,23.8,0.0,68,116,0.0
2021/07/02,18:00,21.9,0.0,78,116,0.0
2021/07/02,19:00,20.4,0.0,92,43,0.0
2021/07/02,20:00,19.1,0.0,97,45,0.0
2021/07/02,21:00,18.4,0.0,98,37,0.0
2021/07/02,22:00,17.7,0.0,99,37,0.0
2021/07/02,23:00,17.1,0.0,99,37,0.0
2021/07/03,00:00,16.7,0.0,99,345,0.0
2021/07/03,01:00,16.3,0.0,99,44,0.0
2021/07/03,02:00,15.9,0.0,99,1,0.0
2021/07/03,03:00,15.6,0.0,99,1,0.0
2021/07/03,04:00,15.3,0.0,100,1,0.0
2021/07/03,05:00,15.0,0.0,99,1,0.0
2021/07/03,06:00,14.7,0.0,100,1,0.0
2021/07/03,07:00,14.4,0.0,100,1,0.0
2021/07/03,08:00,14.3,0.0,100,1,0.0
2021/07/03,09:00,15.4,0.0,100,74,0.0
2021/07/03,10:00,19.6,0.0,87,184,0.0
2021/07/03,11:00,23.5,0.0,76,308,0.1
2021/07/03,12:00,26.2,0.0,70,229,0.7
2021/07/03,13:00,28.5,0.0,63,218,0.1
2021/07/03,14:00,29.8,0.0,55,207,0.2
2021/07/03,15:00,29.4,0.0,56,254,0.1
2021/07/03,16:00,27.5,0.0,62,281,0.1
2021/07/03,17:00,25.0,0.0,75,279,0.0
2021/07/03,18:00,23.7,0.0,85,25,0.0
