Estación : PUERTO MALDONADO
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°35'14.28'',Longitud :,69°12'31.68'',Altitud :,209 msnm.
Tipo :,EMA - Meteorológica,Código :,112279
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/12/20,13:00,28.4,0.0,8.1,27.2,1.6
2024/12/20,14:00,28.4,0.0,8.1,30.9,1.8
2024/12/20,15:00,28.7,0.0,81,31.4,0.5
2024/12/20,16:00,27.6,0.0,81,.8,1.3
2024/12/20,17:00,26.9,0.0,85,1.7,1.0
2024/12/20,18:00,26.8,0.0,86,2,1.3
2024/12/20,19:00,26.2,0.0,88,3.3,1.8
2024/12/20,20:00,25.4,0.0,89,2.8,1.9
2024/12/20,21:00,24.9,0.0,90,35.8,1.8
2024/12/20,22:00,24.8,0.0,91,34.4,2.0
2024/12/20,23:00,24.6,0.0,92,30.1,0.7
2024/12/21,00:00,24.4,0.0,93,34.9,0.7
2024/12/21,01:00,24.2,0.0,94,.7,0.2
2024/12/21,02:00,24.0,0.0,95,3.6,0.6
2024/12/21,03:00,23.9,0.0,95,3.5,0.5
2024/12/21,04:00,23.8,0.0,95,3.8,0.8
2024/12/21,05:00,23.5,0.0,96,35.4,0.1
2024/12/21,06:00,23.5,0.0,96,32.6,0.7
2024/12/21,07:00,24.1,0.0,96,29.4,0.9
2024/12/21,08:00,25.4,0.0,90,31.5,0.7
2024/12/21,09:00,27.5,0.0,84,33.8,0.2
2024/12/21,10:00,29.1,0.0,81,30.8,0.5
2024/12/21,11:00,30.2,0.0,77,31.3,1.4
2024/12/21,12:00,29.6,1.5,79,31.9,0.9
2024/12/21,13:00,31.0,0.0,79,0,0.5
2024/12/21,14:00,31.9,0.0,73,1.6,0.7
2024/12/21,15:00,32.3,0.0,71,1.8,0.8
2024/12/21,16:00,32.5,0.0,71,2.2,0.6
2024/12/21,17:00,31.4,0.0,74,1.6,0.2
2024/12/21,18:00,30.9,0.0,76,3,0.4
2024/12/21,19:00,29.0,0.0,79,3.1,2.3
2024/12/21,20:00,27.1,0.0,83,3.3,2.4
2024/12/21,21:00,26.2,0.0,86,3.7,1.6
2024/12/21,22:00,26.0,0.0,87,4.3,0.9
2024/12/21,23:00,25.7,0.0,88,28.8,0.4
2024/12/22,00:00,25.5,0.0,88,.7,0.7
2024/12/22,01:00,25.3,0.0,89,35,1.0
2024/12/22,02:00,24.9,0.0,90,.1,0.4
2024/12/22,03:00,24.4,0.0,93,34.1,0.0
2024/12/22,04:00,24.4,0.0,93,S/D,0.0
2024/12/22,05:00,24.7,0.0,92,4.3,0.2
2024/12/22,06:00,24.7,0.0,92,5,0.7
2024/12/22,07:00,25.4,0.0,90,7,0.9
2024/12/22,08:00,27.1,0.0,85,.7,0.8
2024/12/22,09:00,28.7,0.0,81,0,0.5
2024/12/22,10:00,30.2,0.0,78,1.5,0.7
2024/12/22,11:00,31.4,0.0,74,35.9,1.3
2024/12/22,12:00,29.5,4.0,76,4.8,1.6
2024/12/22,13:00,29.6,0.0,80,32.1,1.0
2024/12/22,14:00,28.2,0.0,79,26.1,2.2
2024/12/22,15:00,26.7,0.0,83,25,1.2
2024/12/22,16:00,25.7,0.0,85,21.9,2.1
2024/12/22,17:00,25.7,0.0,86,8.6,0.5
2024/12/22,18:00,25.2,0.0,88,31.2,0.2
2024/12/22,19:00,25.2,0.0,89,19.4,0.4
2024/12/22,20:00,24.7,0.0,93,1.9,0.8
2024/12/22,21:00,24.8,0.0,93,4.5,0.9
2024/12/22,23:00,24.8,2.1,94,9.9,1.7
2024/12/23,00:00,24.5,2.1,95,10.9,1.2
2024/12/23,01:00,23.8,18.8,96,14,1.6
2024/12/23,02:00,23.6,0.1,96,14.5,1.2
2024/12/23,03:00,23.6,0.0,95,11.2,1.1
2024/12/23,04:00,23.7,0.0,94,11.6,0.6
2024/12/23,05:00,23.7,0.0,94,14.4,0.8
2024/12/23,06:00,23.7,0.0,94,15.3,1.7
2024/12/23,07:00,23.7,0.0,94,15.4,1.7
2024/12/23,08:00,23.9,0.0,93,16,1.5
2024/12/23,09:00,24.0,0.6,93,15.8,1.3
2024/12/23,10:00,24.6,0.0,91,16.6,1.3
2024/12/23,11:00,25.6,0.0,87,15.6,0.9
2024/12/23,12:00,26.1,0.0,86,2.8,1.4
2024/12/23,13:00,26.4,0.0,84,1.3,1.9
2024/12/23,14:00,26.7,0.0,83,.7,1.9
2024/12/23,15:00,26.1,0.0,85,34.3,2.2
2024/12/23,16:00,26.2,0.0,85,31.8,2.1
2024/12/23,17:00,25.4,0.0,86,32.2,2.1
2024/12/23,18:00,24.8,0.0,89,31.2,0.9
2024/12/23,19:00,24.0,0.0,91,30.6,0.4
2024/12/23,
