Estación : SALVACION
Departamento :,MADRE DE DIOS,Provincia :,MANU,Distrito :,MANU
Latitud :,12°49'52.3'',Longitud :,71°21'52.06'',Altitud :,531 msnm.
Tipo :,EMA - Meteorológica,Código :,47E8201A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/11/01,00:00,19.5,0.0,99,83,0.3
2025/11/01,01:00,19.7,0.0,100,269,0.4
2025/11/01,02:00,19.7,0.0,100,251,0.4
2025/11/01,03:00,19.8,0.0,100,110,0.2
2025/11/01,04:00,19.8,0.0,100,211,0.2
2025/11/01,05:00,19.7,0.0,100,279,0.4
2025/11/01,06:00,19.8,0.0,100,267,0.8
2025/11/01,07:00,19.8,0.0,100,291,0.6
2025/11/01,08:00,20.3,0.0,99,324,0.7
2025/11/01,09:00,22.4,0.0,92,267,0.9
2025/11/01,10:00,24.3,0.0,84,324,0.6
2025/11/01,11:00,26.0,0.0,77,243,0.9
2025/11/01,12:00,26.4,0.0,78,280,2.3
2025/11/01,13:00,27.2,0.0,77,277,2.9
2025/11/01,14:00,25.9,0.0,82,275,2.1
2025/11/01,15:00,25.3,0.0,81,240,1.3
2025/11/01,16:00,24.8,0.0,84,253,0.3
2025/11/01,17:00,25.8,0.0,80,169,1.4
2025/11/01,18:00,25.9,0.0,80,340,1.6
2025/11/01,19:00,23.8,0.2,90,272,0.2
2025/11/01,20:00,22.9,0.0,97,2,0.5
2025/11/01,21:00,22.6,0.0,98,309,0.6
2025/11/01,22:00,22.5,0.0,98,60,0.3
2025/11/01,23:00,22.4,0.0,98,328,0.5
2025/11/02,00:00,22.4,0.0,98,100,0.1
2025/11/02,01:00,22.4,0.0,99,249,0.2
2025/11/02,02:00,22.2,0.0,99,40,0.1
2025/11/02,03:00,22.0,0.0,99,130,0.5
2025/11/02,04:00,22.0,0.0,97,53,0.3
2025/11/02,05:00,21.8,0.0,99,68,0.1
2025/11/02,06:00,21.8,0.0,99,79,0.3
2025/11/02,07:00,22.0,0.0,98,128,0.0
2025/11/02,08:00,22.9,0.0,95,156,0.9
2025/11/02,09:00,24.3,0.0,89,133,1.1
2025/11/02,10:00,26.3,0.0,79,94,1.0
2025/11/02,11:00,28.3,0.0,69,158,0.5
2025/11/02,12:00,29.9,0.0,64,243,1.1
2025/11/02,13:00,29.5,0.0,69,12,1.5
2025/11/02,14:00,29.8,0.0,70,119,1.0
2025/11/02,15:00,31.6,0.0,61,232,1.0
2025/11/02,16:00,30.9,0.0,62,90,0.7
2025/11/02,17:00,28.0,0.0,77,150,2.0
2025/11/02,18:00,25.8,3.8,90,129,2.1
2025/11/02,19:00,24.6,1.6,97,139,1.2
2025/11/02,20:00,24.5,0.0,95,139,1.6
2025/11/02,21:00,24.2,0.2,95,106,1.4
2025/11/02,22:00,24.0,0.0,94,112,1.2
2025/11/02,23:00,23.7,5.4,96,146,1.1
2025/11/03,00:00,23.2,16.4,99,157,1.2
2025/11/03,01:00,23.1,8.2,100,155,0.3
2025/11/03,02:00,23.0,1.8,100,90,0.6
2025/11/03,03:00,23.0,0.2,100,107,0.6
2025/11/03,04:00,23.2,0.0,100,70,0.3
2025/11/03,05:00,22.9,2.4,100,89,0.0
2025/11/03,06:00,22.8,2.8,100,149,2.4
2025/11/03,07:00,22.7,16.8,100,107,1.2
2025/11/03,08:00,22.8,0.0,100,268,0.4
2025/11/03,09:00,23.7,0.0,99,30,1.1
2025/11/03,10:00,25.1,0.0,95,234,1.1
2025/11/03,11:00,26.9,0.0,86,148,1.4
2025/11/03,12:00,28.7,0.4,77,309,0.9
2025/11/03,13:00,27.8,0.4,81,182,0.5
2025/11/03,14:00,28.8,0.0,78,180,0.7
2025/11/03,15:00,29.2,0.0,76,250,0.9
2025/11/03,16:00,28.3,0.0,81,113,0.7
2025/11/03,17:00,28.8,0.0,76,81,0.9
2025/11/03,18:00,29.0,0.0,74,259,2.2
2025/11/03,19:00,27.4,0.0,85,97,0.6
2025/11/03,20:00,25.9,0.0,89,154,1.4
2025/11/03,21:00,25.2,5.2,93,125,1.1
2025/11/03,22:00,24.3,3.0,99,103,0.9
2025/11/03,23:00,24.3,0.4,100,325,0.3
2025/11/04,00:00,23.9,5.0,99,113,1.3
2025/11/04,01:00,23.0,6.2,100,148,2.1
2025/11/04,02:00,22.7,13.0,100,157,0.5
2025/11/04,03:00,22.8,4.2,100,153,0.5
2025/11/04,04:00,22.8,5.0,100,54,0.5
2025/11/04,05:00,22.3,6.8,100,150,3.2
2025/11/04,06:00,21.7,5.6,99,108,1.7
2025/11/04,07:00,21.5,5.0,100,90,2.1
2025/11/04,08:00,21.4,2.6,100,315,1.3
