Estación : SAN ALEJANDRO
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,IRAZOLA
Latitud :,8°49'51.26'',Longitud :,75°12'46.12'',Altitud :,207 msnm.
Tipo :,HLM - Hidrológica,Código :,250103
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2020-08-01,1.000,1.000,0.980,0.960
2020-08-02,0.900,0.880,0.860,0.840
2020-08-03,0.720,0.720,0.700,0.680
2020-08-04,0.600,0.580,0.560,0.540
2020-08-05,0.500,0.500,0.500,0.480
2020-08-06,0.960,0.960,0.920,0.900
2020-08-07,0.820,0.800,0.780,0.760
2020-08-08,0.680,0.660,0.640,0.620
2020-08-09,0.540,0.540,0.520,0.500
2020-08-10,0.420,0.400,0.400,0.400
2020-08-11,1.040,1.860,2.060,2.220
2020-08-12,1.920,1.900,1.860,1.820
2020-08-13,1.680,1.660,1.620,1.580
2020-08-14,1.420,1.400,1.380,1.340
2020-08-15,1.760,1.980,1.940,1.920
2020-08-16,2.260,2.200,
