Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : CALLERIA
Departamento :,UCAYALI,Provincia :,CORONEL PORTILLO,Distrito :,CALLARIA
Latitud :,7°53'53.7'',Longitud :,74°29'55.9'',Altitud :,165 msnm.
Tipo :,EMA - Meteorológica,Código :,47E86310
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/06/01,00:00,20.3,0.0,100,30,0.0
2024/06/01,01:00,20.4,0.0,100,7,0.0
2024/06/01,02:00,20.5,0.0,100,4,0.0
2024/06/01,03:00,20.6,0.0,100,201,0.2
2024/06/01,04:00,20.4,0.0,100,297,0.0
2024/06/01,05:00,19.7,0.0,100,48,0.0
2024/06/01,06:00,19.5,0.0,100,47,0.0
2024/06/01,07:00,19.7,0.0,100,47,0.0
2024/06/01,08:00,20.1,0.0,100,68,0.0
2024/06/01,09:00,20.8,0.0,100,155,0.0
2024/06/01,10:00,22.1,0.0,95,213,0.3
2024/06/01,11:00,23.7,0.0,88,167,0.6
2024/06/01,12:00,25.4,0.0,80,192,0.6
2024/06/01,13:00,25.6,0.0,80,286,0.3
2024/06/01,14:00,25.8,0.0,83,293,0.2
2024/06/01,15:00,25.7,0.0,85,281,0.2
2024/06/01,16:00,25.9,0.0,85,6,0.0
2024/06/01,17:00,25.9,0.0,88,188,0.0
2024/06/01,18:00,24.0,0.0,94,321,0.2
2024/06/01,19:00,22.5,0.0,97,304,0.0
2024/06/01,20:00,21.4,0.0,99,305,0.0
2024/06/01,21:00,20.7,0.0,100,9,0.0
2024/06/01,22:00,20.1,0.0,100,9,0.0
2024/06/01,23:00,19.6,0.0,100,9,0.0
2024/06/02,00:00,19.4,0.0,100,56,0.0
2024/06/02,01:00,19.3,0.0,100,56,0.0
2024/06/02,02:00,18.8,0.0,100,56,0.0
2024/06/02,03:00,18.4,0.0,100,56,0.0
2024/06/02,04:00,18.1,0.0,100,49,0.0
2024/06/02,05:00,18.0,0.0,100,55,0.0
2024/06/02,06:00,18.2,0.0,100,97,0.1
2024/06/02,07:00,17.7,0.0,100,97,0.0
2024/06/02,08:00,17.8,0.0,100,97,0.0
2024/06/02,09:00,18.9,0.0,100,126,0.0
2024/06/02,10:00,21.5,0.0,98,229,0.3
2024/06/02,11:00,24.0,0.0,87,149,0.4
2024/06/02,12:00,26.3,0.0,77,183,0.6
2024/06/02,13:00,28.5,0.0,70,342,0.3
2024/06/02,14:00,29.7,0.0,64,201,0.4
2024/06/02,15:00,30.1,0.0,65,342,0.2
2024/06/02,16:00,30.2,0.0,62,336,0.1
2024/06/02,17:00,28.6,0.0,68,207,0.0
2024/06/02,18:00,25.9,0.0,81,348,0.2
2024/06/02,19:00,23.8,0.0,87,320,0.0
2024/06/02,20:00,22.2,0.0,96,320,0.0
2024/06/02,21:00,21.4,0.0,99,320,0.0
2024/06/02,22:00,20.8,0.0,100,320,0.0
2024/06/02,23:00,20.3,0.0,100,320,0.0
2024/06/03,00:00,19.9,0.0,100,330,0.0
2024/06/03,01:00,19.5,0.0,100,330,0.0
2024/06/03,02:00,19.2,0.0,100,172,0.0
2024/06/03,03:00,18.8,0.0,100,172,0.0
2024/06/03,04:00,18.5,0.0,100,172,0.0
2024/06/03,05:00,18.1,0.0,100,172,0.0
2024/06/03,06:00,18.0,0.0,100,172,0.0
2024/06/03,07:00,17.8,0.0,100,172,0.0
2024/06/03,08:00,17.7,0.0,100,131,0.0
2024/06/03,09:00,18.8,0.0,100,141,0.0
2024/06/03,10:00,21.8,0.0,99,227,0.3
2024/06/03,11:00,24.7,0.0,91,145,0.6
2024/06/03,12:00,27.4,0.0,75,309,0.4
2024/06/03,13:00,30.3,0.0,68,171,0.5
2024/06/03,14:00,30.7,0.0,66,153,0.5
2024/06/03,15:00,30.5,0.0,63,110,0.5
2024/06/03,16:00,30.5,0.0,63,219,0.2
2024/06/03,17:00,28.7,0.0,74,318,0.1
2024/06/03,18:00,27.0,0.0,79,299,0.0
2024/06/03,19:00,24.9,0.0,86,303,0.1
2024/06/03,20:00,23.3,0.0,94,285,0.0
2024/06/03,21:00,22.4,0.0,99,248,0.0
2024/06/03,22:00,21.9,0.0,100,164,0.0
2024/06/03,23:00,21.5,0.0,100,170,0.0
2024/06/04,00:00,21.2,0.0,100,170,0.0
2024/06/04,01:00,20.8,0.0,100,170,0.0
2024/06/04,02:00,20.5,0.0,100,239,0.0
2024/06/04,03:00,20.2,0.0,100,145,0.0
2024/06/04,04:00,20.0,0.0,100,168,0.0
2024/06/04,05:00,19.8,0.0,100,137,0.0
2024/06/04,06:00,19.6,0.0,100,232,0.0
2024/06/04,07:00,19.4,0.0,100,99,0.0
2024/06/04,08:00,19.4,0.0,100,99,0.0
2024/06/04,09:00,20.4,0.0,100,99,0.0
2024/06/04,10:00,23.1,0.0,95,168,0.6
2024/06/04,11:00,25.6,0.0,86,198,0.8
2024/06/04,12:00,28.0,0.0,74,150,0.7
2024/06/04,13:00,30.0,0.0,69,132,1.2
2024/06/04,14:00,30.1,0.0,71,85,0.4
2024/06/04,15:00,30.2,0.0,71,76,0.3
2024/06/04,16:00,29.9,0.0,75,63,0.2
2024/06/04,17:00,28.7,0.0,80,311,0.1
2024/06/04,18:00,27.8,0.0,83,305,0.0
2024/06/04,19:00,25.8,0.0,91,304,0.0
2024/06/04,20:00,24.6,0.0,96,288,0.0
2024/06/04,21:00,24.1,0.0,99,288,0.0
2024/06/04,22:00,23.5,0.0,100,288,0.0
2024/06/04,23:00,23.1,0.0,100,288,0.0
2024/06/05,00:00,23.0,0.0,100,288,0.0
2024/06/05,01:00,23.0,0.0,100,288,0.0
2024/06/05,02:00,23.0,0.0,100,288,0.0
2024/06/05,03:00,23.0,0.0,100,288,0.0
2024/06/05,04:00,22.8,0.0,100,288,0.0
2024/06/05,05:00,22.6,0.0,100,288,0.0
2024/06/05,06:00,22.4,0.0,100,288,0.0
2024/06/05,07:00,22.2,0.0,100,288,0.0
2024/06/05,08:00,22.4,0.0,100,261,0.0
2024/06/05,09:00,23.6,0.0,99,227,0.0
2024/06/05,10:00,25.5,0.0,95,154,0.2
2024/06/05,11:00,27.2,0.0,87,171,0.4
2024/06/05,12:00,28.9,0.0,78,153,0.8
2024/06/05,13:00,30.5,0.0,72,164,0.3
2024/06/05,14:00,31.6,0.0,67,146,0.9
2024/06/05,15:00,31.2,0.0,67,84,0.0
2024/06/05,16:00,29.9,0.0,74,123,0.4
2024/06/05,17:00,29.1,0.0,75,343,0.2
2024/06/05,18:00,28.1,0.0,75,336,0.1
2024/06/05,19:00,25.8,0.0,88,308,0.0
2024/06/05,20:00,24.4,0.0,96,320,0.0
2024/06/05,21:00,23.6,0.0,99,11,0.0
2024/06/05,22:00,23.1,0.0,99,72,0.0
2024/06/05,23:00,22.7,0.0,100,78,0.0
2024/06/06,00:00,22.4,0.0,100,75,0.0
2024/06/06,01:00,22.1,0.0,100,10,0.0
2024/06/06,02:00,21.8,0.0,100,62,0.0
2024/06/06,03:00,21.4,0.0,100,77,0.0
2024/06/06,04:00,21.2,0.0,100,77,0.0
2024/06/06,05:00,20.9,0.0,100,79,0.0
2024/06/06,06:00,20.6,0.0,100,78,0.0
2024/06/06,07:00,20.4,0.0,100,78,0.0
2024/06/06,08:00,20.3,0.0,100,78,0.0
2024/06/06,09:00,21.3,0.0,100,91,0.0
2024/06/06,10:00,23.8,0.0,99,110,0.2
2024/06/06,11:00,26.4,0.0,87,129,0.3
2024/06/06,12:00,28.4,0.0,80,90,0.3
2024/06/06,13:00,30.9,0.0,70,136,0.6
2024/06/06,14:00,32.2,0.0,62,230,0.3
2024/06/06,15:00,31.9,0.0,65,47,0.3
2024/06/06,16:00,30.7,0.0,72,340,0.4
2024/06/06,17:00,29.4,0.0,79,333,0.2
2024/06/06,18:00,27.9,0.0,85,341,0.1
2024/06/06,19:00,26.0,0.0,90,299,0.0
2024/06/06,20:00,24.6,0.0,97,299,0.0
2024/06/06,21:00,23.9,0.0,99,298,0.0
