Estación : CALLERIA
Departamento :,UCAYALI,Provincia :,CORONEL PORTILLO,Distrito :,CALLARIA
Latitud :,7°53'53.7'',Longitud :,74°29'55.9'',Altitud :,165 msnm.
Tipo :,EMA - Meteorológica,Código :,47E86310
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/11/01,00:00,25.3,0.0,98,73,0.0
2024/11/01,01:00,24.9,0.0,99,73,0.0
2024/11/01,02:00,24.6,0.0,100,73,0.0
2024/11/01,03:00,24.3,0.0,100,73,0.0
2024/11/01,04:00,23.9,0.0,100,73,0.0
2024/11/01,05:00,23.6,0.0,100,73,0.0
2024/11/01,06:00,23.4,0.0,100,80,0.0
2024/11/01,07:00,23.2,0.0,100,80,0.0
2024/11/01,08:00,24.2,0.0,98,117,0.4
2024/11/01,09:00,26.8,0.0,85,118,0.5
2024/11/01,10:00,30.0,0.0,76,84,0.6
2024/11/01,11:00,33.3,0.0,65,87,0.7
2024/11/01,12:00,35.4,0.0,58,346,1.0
2024/11/01,13:00,36.1,0.0,56,204,0.4
2024/11/01,14:00,36.3,0.0,58,181,0.3
2024/11/01,15:00,36.4,0.0,59,178,0.2
2024/11/01,16:00,36.5,0.0,61,201,0.0
2024/11/01,17:00,34.4,0.0,74,99,0.1
2024/11/01,18:00,32.4,0.0,78,334,0.0
2024/11/01,19:00,30.6,0.0,84,330,0.0
2024/11/01,20:00,28.6,0.0,90,330,0.0
2024/11/01,21:00,27.7,0.0,93,331,0.0
2024/11/01,22:00,27.0,0.0,95,82,0.0
2024/11/01,23:00,26.5,0.0,98,82,0.0
2024/11/02,00:00,26.1,0.0,99,82,0.0
2024/11/02,01:00,25.7,0.0,99,91,0.0
2024/11/02,02:00,25.5,0.0,100,20,0.1
2024/11/02,03:00,25.3,0.0,100,83,0.0
2024/11/02,04:00,25.0,0.0,100,83,0.0
2024/11/02,05:00,24.8,0.0,100,83,0.0
2024/11/02,06:00,24.6,0.0,100,83,0.0
2024/11/02,07:00,24.4,0.0,100,83,0.0
2024/11/02,08:00,25.8,0.0,95,96,0.5
2024/11/02,09:00,28.0,0.0,85,115,0.5
2024/11/02,10:00,30.7,0.0,77,102,0.7
2024/11/02,11:00,32.7,0.0,74,144,0.7
2024/11/02,12:00,29.9,7.4,83,224,0.5
2024/11/02,13:00,26.3,2.2,99,260,0.5
2024/11/02,14:00,25.0,3.8,100,234,0.2
2024/11/02,15:00,24.3,0.4,100,192,0.0
2024/11/02,16:00,24.2,1.6,100,118,0.0
2024/11/02,17:00,24.4,0.4,100,92,0.0
2024/11/02,18:00,24.4,0.0,100,93,0.2
2024/11/02,19:00,24.2,0.0,100,98,0.4
2024/11/02,20:00,24.0,0.0,100,98,0.2
2024/11/02,21:00,23.9,0.0,100,106,0.0
2024/11/02,22:00,23.9,0.0,100,295,0.0
2024/11/02,23:00,23.8,0.0,100,200,0.0
2024/11/03,00:00,23.7,0.0,100,162,0.0
2024/11/03,01:00,23.6,0.0,100,264,0.0
2024/11/03,02:00,23.5,0.0,100,214,0.0
2024/11/03,03:00,23.5,0.0,100,226,0.0
2024/11/03,04:00,23.5,0.0,100,196,0.2
2024/11/03,05:00,23.5,0.0,100,265,0.0
2024/11/03,06:00,23.4,0.0,100,99,0.0
2024/11/03,07:00,23.4,0.2,100,104,0.0
2024/11/03,08:00,23.5,0.0,100,103,0.1
2024/11/03,09:00,24.2,0.0,99,50,0.1
2024/11/03,10:00,25.2,0.0,96,211,0.3
2024/11/03,11:00,25.8,0.0,94,177,0.7
2024/11/03,12:00,26.5,0.0,93,194,0.4
2024/11/03,13:00,27.0,0.0,92,153,0.2
2024/11/03,14:00,28.5,0.0,89,133,0.1
2024/11/03,15:00,28.9,0.0,92,134,0.3
2024/11/03,16:00,29.0,0.0,91,86,0.3
2024/11/03,17:00,28.5,0.0,91,72,0.4
2024/11/03,18:00,28.2,0.0,90,82,0.2
2024/11/03,19:00,27.2,0.0,95,356,0.0
2024/11/03,20:00,26.1,0.0,98,356,0.0
2024/11/03,21:00,25.5,0.0,99,356,0.0
2024/11/03,22:00,25.2,0.0,99,35,0.0
2024/11/03,23:00,25.1,0.0,100,115,0.0
2024/11/04,00:00,24.8,0.0,100,109,0.0
2024/11/04,01:00,24.5,0.0,100,114,0.0
2024/11/04,02:00,24.3,0.0,100,110,0.0
2024/11/04,03:00,24.1,0.0,100,110,0.0
2024/11/04,04:00,23.9,0.0,100,110,0.0
2024/11/04,05:00,23.7,0.0,100,112,0.0
2024/11/04,06:00,23.8,0.0,100,97,0.2
2024/11/04,07:00,23.6,0.0,100,99,0.0
2024/11/04,08:00,24.1,0.0,100,108,0.4
2024/11/04,09:00,24.8,0.0,98,94,0.7
2024/11/04,10:00,27.0,0.0,90,233,0.5
2024/11/04,11:00,29.1,0.0,83,91,0.3
2024/11/04,12:00,30.5,0.0,79,240,0.2
2024/11/04,13:00,30.4,1.4,84,175,0.3
2024/11/04,14:00,31.5,0.0,81,227,0.2
2024/11/04,15:00,31.3,0.4,81,270,0.5
2024/11/04,16:00,28.6,0.0,93,230,0.1
2024/11/04,17:00,29.0,0.0,93,291,0.0
2024/11/04,18:00,28.6,0.0,96,272,0.0
2024/11/04,19:00,27.7,0.0,98,302,0.0
2024/11/04,20:00,27.0,0.0,98,183,0.0
2024/11/04,21:00,26.1,0.0,98,355,0.0
2024/11/04,22:00,25.3,0.0,99,314,0.1
2024/11/04,23:00,25.1,0.0,99,330,0.0
2024/11/05,00:00,25.0,0.0,99,57,0.0
2024/11/05,01:00,24.8,0.0,100,89,0.0
2024/11/05,02:00,24.4,0.0,100,83,0.0
2024/11/05,03:00,24.1,0.0,100,83,0.0
2024/11/05,04:00,24.0,0.0,100,83,0.0
2024/11/05,05:00,24.0,0.0,100,83,0.0
2024/11/05,06:00,23.7,0.0,100,83,0.0
2024/11/05,07:00,23.6,0.0,100,100,0.2
2024/11/05,08:00,24.7,0.0,98,122,0.1
2024/11/05,09:00,26.7,0.0,91,243,0.4
2024/11/05,10:00,28.7,0.0,85,260,0.5
2024/11/05,11:00,31.0,0.0,77,118,0.6
2024/11/05,12:00,32.9,0.0,69,86,0.5
2024/11/05,13:00,33.8,0.0,66,229,0.7
2024/11/05,14:00,34.6,0.0,62,126,0.6
2024/11/05,15:00,35.3,0.0,58,238,0.8
2024/11/05,16:00,34.6,0.0,60,165,0.1
2024/11/05,17:00,33.6,0.0,67,139,0.3
2024/11/05,18:00,31.6,0.0,74,38,0.2
2024/11/05,19:00,29.5,0.0,79,293,0.2
2024/11/05,20:00,27.5,0.0,84,296,0.0
2024/11/05,21:00,26.8,0.0,91,304,0.0
2024/11/05,22:00,26.2,0.0,94,304,0.0
2024/11/05,23:00,25.8,0.0,96,289,0.0
2024/11/06,00:00,25.3,0.0,97,290,0.0
2024/11/06,01:00,25.2,0.0,98,289,0.0
2024/11/06,02:00,25.1,0.0,98,304,0.0
2024/11/06,03:00,24.7,0.0,99,101,0.0
2024/11/06,04:00,24.4,0.0,99,101,0.0
2024/11/06,05:00,24.2,0.0,99,101,0.0
2024/11/06,06:00,24.2,0.0,99,101,0.0
2024/11/06,07:00,24.1,0.0,100,150,0.0
2024/11/06,08:00,25.2,0.0,97,136,0.3
