Estación : PUERTO ESPERANZA
Departamento :,UCAYALI,Provincia :,PURUS,Distrito :,PURUS
Latitud :,9°46'14.98'',Longitud :,70°42'23.97'',Altitud :,237 msnm.
Tipo :,EMA - Meteorológica,Código :,47E87066
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/08/01,00:00,16.6,S/D,97,53,0.0
2021/08/01,01:00,16.4,S/D,97,190,0.0
2021/08/01,02:00,16.5,S/D,97,219,0.0
2021/08/01,03:00,16.8,S/D,96,85,0.0
2021/08/01,04:00,17.3,S/D,97,85,0.0
2021/08/01,05:00,17.5,S/D,96,134,0.0
2021/08/01,06:00,17.6,S/D,97,164,0.0
2021/08/01,07:00,17.8,S/D,97,80,0.4
2021/08/01,08:00,19.4,S/D,92,236,0.0
2021/08/01,09:00,23.2,S/D,76,124,0.9
2021/08/01,10:00,27.6,S/D,56,133,2.6
2021/08/01,11:00,29.2,S/D,48,148,2.1
2021/08/01,12:00,30.7,S/D,45,172,2.4
2021/08/01,13:00,31.6,S/D,44,154,1.8
2021/08/01,14:00,32.2,S/D,42,205,2.5
2021/08/01,15:00,32.0,S/D,42,155,1.9
2021/08/01,16:00,31.0,S/D,45,128,2.8
2021/08/01,17:00,30.4,S/D,46,146,1.6
2021/08/01,18:00,27.9,S/D,56,147,0.0
2021/08/01,19:00,23.3,S/D,78,216,0.0
2021/08/01,20:00,21.6,S/D,85,351,0.0
2021/08/01,21:00,20.4,S/D,89,234,0.0
2021/08/01,22:00,19.6,S/D,92,195,0.0
2021/08/01,23:00,18.8,S/D,94,146,0.6
2021/08/02,00:00,20.9,S/D,82,150,1.6
2021/08/02,01:00,21.1,S/D,78,158,0.9
2021/08/02,02:00,20.2,S/D,81,191,0.2
2021/08/02,03:00,18.4,S/D,91,177,0.3
2021/08/02,04:00,18.5,S/D,87,145,2.2
2021/08/02,05:00,19.8,S/D,77,140,1.8
2021/08/02,06:00,19.1,S/D,77,162,0.8
2021/08/02,07:00,
