Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : SANTA ANA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,8°29'51.47'',Longitud :,75°33'45.86'',Altitud :,235 msnm.
Tipo :,EMA - Meteorológica,Código :,47E8568A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/12/01,00:00,25.6,0.0,99,248,0.0
2022/12/01,01:00,25.3,0.0,99,295,0.0
2022/12/01,02:00,24.9,0.0,99,330,0.0
2022/12/01,03:00,24.6,0.0,99,338,0.0
2022/12/01,04:00,24.5,0.0,100,142,0.0
2022/12/01,05:00,24.6,0.0,100,129,0.0
2022/12/01,06:00,24.4,0.0,100,19,0.0
2022/12/01,07:00,24.5,0.0,100,19,0.0
2022/12/01,08:00,24.8,0.0,100,296,0.0
2022/12/01,09:00,25.3,0.0,98,334,0.1
2022/12/01,10:00,26.7,0.0,91,112,0.2
2022/12/01,11:00,27.7,0.0,89,258,0.0
2022/12/01,12:00,27.8,0.0,90,216,0.1
2022/12/01,13:00,28.0,0.0,90,187,0.2
2022/12/01,14:00,28.5,0.0,88,199,0.3
2022/12/01,15:00,31.5,0.0,79,62,0.1
2022/12/01,16:00,32.2,0.0,74,137,0.4
2022/12/01,17:00,30.3,0.0,85,328,0.8
2022/12/01,18:00,28.8,0.0,90,43,0.1
2022/12/01,19:00,28.4,0.0,93,108,0.1
2022/12/01,20:00,27.4,0.0,97,335,0.0
2022/12/01,21:00,26.9,0.0,98,284,0.0
2022/12/01,22:00,26.5,0.0,99,27,0.0
2022/12/01,23:00,26.4,0.0,99,318,0.0
2022/12/02,00:00,26.1,0.0,99,193,0.0
2022/12/02,01:00,25.7,0.0,98,317,0.0
2022/12/02,02:00,25.0,0.0,98,325,0.2
2022/12/02,03:00,S/D,S/D,S/D,S/D,S/D
2022/12/02,04:00,24.5,0.0,99,86,0.2
2022/12/02,05:00,24.5,0.0,99,8,0.8
2022/12/02,06:00,24.5,0.0,100,117,0.1
