Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUCALLPA
Departamento :,UCAYALI,Provincia :,CORONEL PORTILLO,Distrito :,CALLARIA
Latitud :,8°24'47.62'',Longitud :,74°34'18.67'',Altitud :,162 msnm.
Tipo :,CP - Meteorológica,Código :,108021
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2022-04-01,25.2,S/D,S/D,69.4
2022-04-02,26.6,19.8,92.1,0.0
2022-04-03,29.6,21.8,81.8,0.0
2022-04-04,31.8,23.2,82.4,0.0
2022-04-05,33.6,22.6,78.8,4.0
2022-04-06,29.4,24.6,90.9,6.2
2022-04-07,32.4,23.6,79.2,0.0
2022-04-08,30.2,24.8,86.4,3.1
2022-04-09,29.8,24,91.9,12.8
2022-04-10,31,24,90.9,0.0
2022-04-11,31.6,22.8,85.6,0.0
2022-04-12,32.8,24.4,78.3,0.0
2022-04-13,32.6,24.6,79.4,0.0
2022-04-14,31.8,23.2,84.2,5.5
2022-04-15,25.2,S/D,S/D,7.4
2022-04-16,30.2,20.2,80.4,0.0
2022-04-17,31.6,18.8,80.0,10.1
2022-04-18,30,23.4,80.3,0.0
2022-04-19,32.2,23,77.8,0.0
2022-04-20,30.2,24,87.5,4.8
2022-04-21,29,23.6,S/D,11.8
2022-04-22,31.6,22.4,79.5,0.0
2022-04-23,33.8,23.4,81.3,0.0
2022-04-24,33.6,23.8,79.5,10.0
2022-04-25,30.8,23.8,85.3,0.0
2022-04-26,32.4,24.4,86.4,0.0
2022-04-27,31.4,23.4,84.8,0.0
2022-04-28,29.8,23.8,94.9,12.8
2022-04-29,30.6,24.2,91.8,7.0
2022-04-30,31.8,22.4,89.7,5.4
